temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
-5.6,2.7,290,24,1,-23,1025.2,1027.5,,,0,0
24.8,0.3,0,86,26.8,22.2,1005.4,1012.1,0,0.09,6,3
-0.3,1.9,270,64,3.8,-6.2,1013.2,1025.5,,,9,3
10.1,3.3,20,52,6.4,0.6,1018.1,1022.2,0.8,0.42,0,0
5.5,5.5,290,57,5.2,-2.3,999.9,1021.2,,,8,3
7.4,6.6,270,72,7.4,2.6,1006.6,1015.1,0.2,1.18,8,2
21,2.7,70,89,22.1,19.1,984.6,1009.9,,,8,1
5.1,5.2,270,28,2.5,-11.9,1012.5,1017.5,,,10,3
4.5,0.8,70,84,7.1,2,1014.7,1018.2,,,9,2
23.1,0.7,90,100,28.1,23,1000.8,1011.8,,,0,0
-3.9,6.2,20,78,3.6,-7.1,1022.6,1028.4,0,0.19,9,4
-2.7,5,290,43,2.2,-13.5,1018.7,1024.4,1,,2,0
2.7,2.4,290,56,4.2,-5.2,1004.3,1021.9,,,0,2
25.1,0,0,92,29.3,23.7,997.1,1014.2,0,0.01,6,3
10.2,5.8,160,94,11.6,9.2,1009,1013.4,0.1,0.71,4,2
18.7,0.4,0,79,16.9,14.9,1012.1,1016.3,,,7,3
0.5,6.1,70,100,6.3,0.4,981.2,1008.5,0,0.13,10,4
7.3,5.1,50,36,3.7,-6.8,1021,1025.3,1,2.02,0,0
26.5,0.9,90,85,29.3,23.7,1002.7,1009.6,,,0,0
25.8,0,0,91,30.2,24.2,1013.6,1014.6,,,7,3
20.1,0.3,0,82,19.2,16.9,1000.2,1008.4,0,1.4,9,2
21.9,0.6,270,99,26,21.7,995.2,1003.8,,,8,2
18.9,1.2,140,85,18.5,16.3,1006.3,1012.3,,,0,0
-3.7,3.1,290,21,1,-22.9,1014.8,1021.1,0.2,,0,0
14,0,0,98,15.6,13.6,1012.3,1023.1,,,8,3
23.4,2.2,70,63,18.1,15.9,1012.2,1020.9,1,2.91,6,3
23.3,1.3,160,93,26.4,22,1007.3,1013.3,0,0.07,6,3
21.5,0.5,290,92,23.5,20.1,930.9,1016.7,,,9,3
10.7,5.8,180,81,10.4,7.5,1000.7,1009.7,,,10,2
24.5,2,250,67,20.5,17.9,996,996.7,0.3,0.72,0,0
25.4,5.1,270,32,10.3,7.4,1004.9,1006.3,1,,0,0
24.1,1,110,70,20.9,18.2,991.1,1010.8,0,,10,3
-4.8,1.2,160,24,1,-22.3,935.6,1023.8,1,1.92,0,0
19.3,2.9,90,61,13.6,11.5,1007.3,1008.4,0,,10,3
8.3,5,270,44,4.8,-3.2,998,1006,,,3,0
13.5,3.6,140,88,13.6,11.5,1003.3,1003.8,,,10,1
1.3,0.5,20,98,6.6,1,1010.4,1022.5,0,0,10,2
-4.3,1.8,20,60,2.7,-10.9,1020.1,1029.2,0.6,0.37,4,0
7.9,3.4,250,32,3.4,-7.8,1018.2,1022.1,1,1.43,0,0
28.5,1.1,270,68,26.4,22,1004.8,1011.4,,,2,0
9.1,1.3,230,61,7,1.9,1012.5,1017.4,0,0.64,9,2
-4.4,0.1,0,89,3.9,-5.9,999,1021.1,,,0,0
11.5,0.2,0,45,6.1,0,996.2,1013.1,1,1.25,0,0
30.1,3,200,52,22.1,19.1,989.5,999,0,0.14,10,1
4.8,0,0,81,7,1.8,1019,1026.4,,,9,3
17.2,0.2,0,92,17.9,15.8,992.5,1008.6,,,9,3
23.7,3,140,86,25.2,21.2,1002.8,1007.4,0,0.43,10,1
3,0,0,91,6.9,1.6,983.8,1013.9,,,0,0
23.2,0.7,160,61,17.3,15.2,995.5,1006.5,,,6,3
5.5,0.6,160,82,7.4,2.6,1016.9,1026.3,,,10,1
-5.2,3.8,320,65,2.7,-10.7,1027.7,1027.9,,,2,0
17.3,1.6,320,95,18.6,16.4,995.9,1005.4,,,0,2
18.2,1.2,320,97,20.2,17.7,1008.8,1013.5,,,0,2
-0.6,0.5,320,97,5.7,-1,1015.9,1022.5,,,0,0
2.6,1.4,340,60,4.4,-4.3,1008.1,1018.2,0,0.04,8,2
-1.6,3.5,290,30,1.6,-16.9,1018.9,1029.8,1,,1,0
32.2,4.6,180,62,29.7,23.9,997.4,1005,0.7,2.47,7,3
4,0.7,250,76,6.2,0.1,1010.5,1017.8,0,0,7,3
27.2,2.5,200,72,26,21.7,1007.1,1008.7,,,0,0
-1.9,2,160,53,2.8,-10.2,1025.2,1026,,,0,0
3.2,1,360,97,7.4,2.7,1003.7,1029,0,,4,0
22.6,1,90,77,21,18.3,1003.8,1013.6,0,,10,3
8.7,1.1,270,48,5.4,-1.7,1017,1025.1,0.3,0.03,0,0
1.2,1.8,20,62,4.2,-5.2,1022.8,1030.3,0,1.08,8,3
-5.4,2.6,290,38,1.6,-17.5,1015.2,1025,,,10,3
3.4,1,50,33,2.6,-11.3,1024,1025.5,0,,10,3
3.3,1.5,270,45,3.5,-7.5,1008.2,1020.3,,,3,0
19.6,1.9,320,91,20.6,18,1014.6,1018.8,,,1,2
9.1,3.8,230,49,5.7,-1,1000.3,1018.5,0.5,0.23,5,0
13.3,0.8,70,93,14.1,12.1,1001.8,1018.7,0,0.01,10,2
12.7,2.8,160,52,7.6,3,1019.6,1020.8,1,,0,0
18.8,0.4,0,84,18.2,16,1009.8,1016.7,,,8,2
22.5,0.7,290,92,25,21.1,1012.3,1013.7,0,,7,3
8.8,2.4,320,91,10.3,7.4,1001.5,1009.7,0,0,9,1
23.4,1.1,110,97,27.7,22.8,1008.7,1012.9,,,10,2
22.1,1,270,97,25.6,21.5,995.9,1003.7,,,10,1
16.9,4.5,200,32,6.1,0,1010.7,1012.6,1,,0,0
-0.8,10.9,230,76,4.4,-4.5,1018.1,1023.8,,,8,4
9.7,5.4,250,52,6.2,0.3,1009.9,1018.3,0,0.91,10,3
25.1,3.1,160,94,29.8,24,1003.8,1008.9,,,3,2
18.9,1.3,110,27,5.9,-0.5,993.1,1013.2,1,,0,0
2.5,0.1,0,88,6.4,0.7,981.3,1021.3,0.2,,9,3
9.5,3.2,180,47,5.6,-1.2,1014.6,1021.8,1,1.89,0,0
11.1,1,340,61,8,3.8,1016,1022.3,,,0,0
4.6,0,0,92,7.8,3.4,1013,1025,,,9,2
3.3,4,180,52,4,-5.6,1007.8,1016.3,,,6,3
23.4,0.3,0,85,24.4,20.7,983.9,1003.4,,,0,0
3.4,7.7,340,50,3.9,-6,1010.2,1016.7,0.8,2.43,5,0
5.1,1.9,140,79,6.9,1.7,1014.3,1019.3,,,8,1
7.7,3.7,160,95,9.9,6.9,1010.7,1019.9,1,0.51,0,2
0.5,0.8,70,90,5.7,-0.9,1020,1020.4,,,0,2
12,0.5,320,97,13.6,11.5,987.1,1016.5,,,10,3
26.8,0.3,0,83,29.1,23.6,996.8,1013.8,,,0,0
5.9,8.6,270,70,6.5,0.8,977.2,1003.9,,,8,1
3.4,1.5,20,59,4.6,-3.8,977.3,1027.3,0.2,,8,3
28.3,1.8,270,78,29.8,24,997.8,1002.9,0.1,,8,3
22.4,0.7,290,85,22.9,19.7,986.3,994.2,0,0,8,1
3.7,1.3,50,82,6.5,0.9,1020.3,1031.1,1,0.83,0,2
27,3,140,23,8.1,4,994.9,1002.8,1,2.23,0,2
0.5,5.9,320,89,5.6,-1.1,1005.6,1014.3,0,0.5,9,4
16.2,0,0,94,17.3,15.2,998.6,1018.1,,,10,3
-0.4,8.9,290,38,2.3,-13,988.3,1014.7,1,,0,0
-8.5,1,140,53,1.7,-16.3,1015.5,1024.6,,,0,0
-2.7,5.4,70,65,3.3,-8.3,993.2,1021.2,0.7,1.55,7,4
28.3,0.9,50,81,31.1,24.7,998.3,1007.9,,,7,3
8.7,3.4,250,14,1.6,-17.3,1019.2,1019.6,1,2,0,0
26.8,2.3,160,72,25.3,21.3,992.1,999.8,0,0.24,9,1
18.9,5.8,70,82,17.8,15.7,993.2,1019,,,10,1
0,3.2,250,75,4.6,-3.9,990.1,1017.7,,,8,4
3.8,7.1,290,91,7.3,2.4,1013.9,1019.5,,,10,1
4.1,2,20,79,6.4,0.7,1018,1027.4,0.1,0.08,0,0
13.7,2.7,250,51,8,3.7,999.6,1009.8,,,10,1
17.5,2.7,50,66,13.1,11,1013.6,1019.8,0,0.45,10,3
-7.5,2.6,250,25,0.9,-24.1,1011.8,1021.6,,,0,0
26,1.2,200,63,21.2,18.4,1007,1012.9,0.3,1.3,9,1
20.1,1.6,200,77,18.1,15.9,1000.2,1013.6,,,10,3
11.1,2.8,320,46,6.1,-0.1,993.1,1008.6,0.5,0.24,0,0
21,4,160,68,16.8,14.8,988.7,1006.1,0.8,0.68,3,0
7.4,1.7,340,52,5.4,-1.8,1017.8,1026.5,0.9,1.9,1,0
28.7,0.3,0,82,32.2,25.3,1006.7,1015.2,1,1.26,1,0
33.8,2.1,270,50,26.3,21.9,1006.8,1010.5,1,1.66,0,0
29.7,3.3,200,79,32.8,25.6,1009.4,1012.5,0.3,2.01,8,1
11.7,1.8,200,37,5.1,-2.5,976.8,1013.8,1,,0,0
25.2,1,140,72,22.9,19.7,1012.3,1016.2,0,0.48,8,3
10.1,3.4,230,37,4.6,-3.9,1020,1023.3,,,1,0
3.5,1.1,90,50,3.9,-5.9,1009,1021,,,0,0
1,1.3,340,81,5.3,-1.9,1020.6,1029.2,,,0,2
24.4,0.7,200,85,26,21.7,988.3,1013.4,0,0.42,10,1
19.5,2.8,230,44,9.9,6.9,993.9,1011.9,1,1.47,9,3
30.3,3,140,74,31.9,25.1,1010.2,1014.1,0.6,2.09,7,1
14.1,3.6,160,60,9.6,6.4,1008.6,1015.1,0,1.34,9,3
7.9,3.4,230,73,7.7,3.3,1014.6,1018,0.9,0.78,2,1
3.2,2,160,79,6.1,0,1014.8,1024.2,,,2,2
5.1,1.7,20,78,6.8,1.5,1021,1029.7,,,0,2
-3.9,2.7,360,54,2.5,-11.8,1024.8,1029.5,,,5,0
1.9,3.2,270,66,4.6,-3.7,1011.2,1020,0.4,1.16,7,4
25,1.1,320,79,24.9,21,1006.7,1009.8,,,3,0
,,,,,,,,,,8,3
23.4,2.6,320,55,15.8,13.8,980.3,999.8,1,,5,0
24.6,0.8,360,99,30.6,24.4,1009,1014.1,,,0,2
23.2,2,90,51,14.4,12.4,1014.6,1018.2,0.1,0.31,9,3
8.5,0.4,0,95,10.5,7.7,999.6,1018.5,,,1,0
22.4,2.9,50,88,23.8,20.3,1005.4,1012.2,0,0.02,10,1
12.6,5.3,320,71,10.3,7.4,996.3,1005.2,,,0,2
30.3,4.6,180,71,30.6,24.4,1004.2,1012,1,3.49,2,0
2.4,1,340,66,4.8,-3.3,1005.5,1022.2,0,,9,3
25.4,0.8,230,84,27.1,22.4,1004.6,1010.1,,,1,0
26.9,6.7,250,13,4.6,-3.8,993.5,993.9,1,1.82,0,2
2.1,0.8,200,94,6.7,1.2,988.4,1013.3,0,,10,3
-2,0.3,0,50,2.6,-11,1009.3,1021.6,,,7,3
12.5,0.7,270,94,13.6,11.5,986.1,1011.2,,,0,0
6.2,4.8,340,50,4.8,-3.4,1019.3,1028.7,1,1.61,4,0
14.3,0.5,180,69,11.2,8.6,1008.4,1014.6,0,0.31,10,1
25.6,1.8,230,85,27.7,22.8,1005.1,1014.4,,,5,0
15.5,0.6,320,96,16.8,14.8,982.6,1020.7,,,7,3
27.6,2,230,69,25.3,21.3,1010.1,1012,1,,1,0
13.3,0.1,0,96,14.6,12.6,1001.3,1018.1,,,9,3
3.1,2.3,320,58,4.4,-4.3,992.2,1020.5,0,0.2,6,3
-0.1,0.2,0,89,5.4,-1.7,1021.4,1023.2,0.6,0.34,0,0
13.3,0.4,0,93,14.1,12.1,1011.7,1017.2,0,,10,3
8.3,3.7,230,65,7.1,2,1014.2,1018.6,,,10,1
7.9,3.3,200,58,6.2,0.1,993.8,997.1,0.4,1.89,10,1
-7.4,4,250,37,1.3,-19.6,1021.4,1021.9,0.1,0.02,0,0
27,3.3,200,82,29.1,23.6,1004.2,1012.1,0,1.42,10,3
21.1,2.9,70,71,17.7,15.6,1010.2,1018.3,0,0.05,10,1
2.3,2.2,230,76,5.5,-1.5,1007.4,1018.1,,,0,2
4.4,0,0,100,8.3,4.3,963.5,1012.6,0,,0,0
25.8,1.9,140,88,29.1,23.6,1003.8,1010.7,0,0.14,10,1
-2,0,0,100,5.3,-2,1012.5,1023.3,,,0,0
22.8,0.9,20,95,26.3,21.9,993.6,1009.8,0,0.49,10,1
17.5,1.7,230,35,7,1.8,993,1002.5,,,0,0
18.7,2,90,67,14.4,12.4,1002,1010.1,0,0.03,0,2
8.8,0.2,0,80,9,5.5,1015.5,1021.3,,,9,3
31,1.2,290,63,28.3,23.1,992.7,1011.7,0.6,,7,3
24.4,1.8,200,81,24.7,20.9,986.6,1011.7,0,0.39,10,1
27.1,0.4,0,84,30,24.1,1005.5,1010.6,0,,10,3
